State,Scenario,Yield_FFB_tonnes_ha,CPO_Price_Naira,Operating_Cost,Profit_per_ha,Area_for_1B_ha
Edo,Conservative,12.8,935000.0,758999.9999999999,1618600.0000000005,617.8178672927219
Edo,Base,16.0,1100000.0,660000.0,2844000.0,351.6174402250352
Edo,Optimistic,19.2,1265000.0,594000.0,4247600.0,235.4270646953574
Cross_River,Conservative,11.200000000000001,935000.0,781999.9999999999,1298400.0000000005,770.178681454097
Cross_River,Base,14.0,1100000.0,680000.0,2386000.0000000005,419.11148365465203
Cross_River,Optimistic,16.8,1265000.0,612000.0,3624400.0,275.9077364529301
Ondo,Conservative,12.0,935000.0,770499.9999999999,1457500.0000000005,686.1063464837048
Ondo,Base,15.0,1100000.0,670000.0,2614000.0,382.55547054322875
Ondo,Optimistic,18.0,1265000.0,603000.0,3935000.0,254.12960609911056
